SPECIES,SPECIESclade,SPECIESclade2,SPECIESclade3,POP,IND,IND2,Latitud,Longitud,Nota
C_boryana,C_boryana,C_boryana,C_boryana,POP23,C24JMC17_D,C24JMC17_D,-21.185308,55.432839,
C_boryana,C_boryana,C_boryana,C_boryana,POP23,C24JMC17_E,C24JMC17_E,-21.185308,55.432839,
C_boryana,C_boryana,C_boryana,C_boryana,POP24,C27JMC17_A,C27JMC17_A,-21.185772,55.433,
C_boryana,C_boryana,C_boryana,C_boryana,POP24,C27JMC17_B,C27JMC17_B,-21.185772,55.433,
C_boryana,C_boryana,C_boryana,C_boryana,POP25,C29JMC17_A,C29JMC17_A,-21.187617,55.43317,
C_boryana,C_boryana,C_boryana,C_boryana,POP25,C29JMC17_B,C29JMC17_B,-21.187617,55.43317,
C_boryana,C_boryana,C_boryana,C_boryana,POP25,C29JMC17_C,C29JMC17_C,-21.187617,55.43317,
C_boryana,C_boryana,C_boryana,C_boryana,POP25,C29JMC17_D,C29JMC17_D,-21.187617,55.43317,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP26,C36JMC17,C36JMC17,-21.224686,55.643294,
C_boryana,C_boryana,C_boryana,C_boryana,POP27,C39JMC17,C39JMC17,-21.111747,55.495164,
C_boryana,C_boryana,C_boryana,C_boryana,POP28,C40JMC17,C40JMC17,-21.112898,55.494839,
C_boryana,C_boryana,C_boryana,C_boryana,POP29,C41JMC17,C41JMC17,-21.113381,55.490842,
C_boryana,C_boryana,C_boryana,C_boryana,POP30,C42JMC17,C42JMC17,-21.117578,55.486806,
C_boryana,C_boryana,C_boryana,C_boryana,POP31,C56JMC17,C56JMC17,-21.059458,55.372594,
C_boryana,C_boryana,C_boryana,C_boryana,POP32,C57JMC17_A,C57JMC17_A,-21.060783,55.376153,
C_boryana,C_boryana,C_boryana,C_boryana,POP32,C57JMC17_B,C57JMC17_B,-21.060783,55.376153,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP33,C58JMC17hib_A,C58JMC17hib_A,-21.087147,55.391947,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP33,C58JMC17hib_B,C58JMC17hib_B,-21.087147,55.391947,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP33,C58JMC17hib_C,C58JMC17hib_C,-21.087147,55.391947,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP34,C59JMC17hib_A,C59JMC17hib_A,-21.088197,55.39245,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP34,C59JMC17hib_B,C59JMC17hib_B,-21.088197,55.39245,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP34,C59JMC17hib_C,C59JMC17hib_C,-21.088197,55.39245,
hybrid,C_borbonica,C_borbonica,C_borbonica,POP34,C59JMC17hib_D,C59JMC17hib_D,-21.088197,55.39245,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP35,C60JMC17,C60JMC17,-21.103199,55.397661,
C_borbonica,C_borbonica,C_borbonica,C_borbonica,POP36,C61JMC17,C61JMC17,-21.095583,55.395381,
hybrid,C_borbonica,C_borbonica,hybrid,POP37,C20ML09_1,C20ML09_1,-21.074827,55.387347,
hybrid,C_borbonica,C_borbonica,hybrid,POP37,C20ML09_8,C20ML09_8,-21.074827,55.387347,
hybrid,C_borbonica,C_borbonica,hybrid,POP37,C20ML09_9,C20ML09_9,-21.074827,55.387347,
hybrid,C_borbonica,C_borbonica,hybrid,POP37,C20ML09_10,C20ML09_10,-21.074827,55.387347,
hybrid,C_boryana,hybrid,hybrid,POP37,C20ML09_7,C20ML09_7,-21.074827,55.387347,
